rpa,subject,PID
TX73_000940,PGIDNB_23855,91.734
TX73_000945,PGIDNB_23860,90.123
TX73_000950,PGIDNB_23865,86.802
TX73_000955,PGIDNB_23870,65.746
TX73_000960,PGIDNB_23875,93.803
TX73_000965,PGIDNB_23890,89.96
TX73_000970,PGIDNB_23895,82.09
TX73_000975,PGIDNB_23900,87.327
TX73_000980,PGIDNB_23905,92.394
TX73_000985,PGIDNB_23935,95.222
TX73_000990,PGIDNB_23950,93.182
TX73_000995,PGIDNB_23955,93.808
TX73_001000,PGIDNB_23960,84.557
TX73_001005,PGIDNB_23965,89.888
TX73_001010,PGIDNB_23970,78.218
TX73_001015,PGIDNB_23975,88.306
TX73_001020,PGIDNB_23980,85.463
TX73_001025,PGIDNB_23985,91.667
TX73_001030,PGIDNB_23990,77.143
TX73_001035,PGIDNB_23995,86.992
TX73_001040,PGIDNB_24005,79.012
TX73_001045,PGIDNB_24010,94.26
TX73_001050,PGIDNB_24015,83.784
TX73_001055,PGIDNB_24020,95.067
TX73_001060,PGIDNB_24025,90.612
TX73_001065,PGIDNB_24030,87.5
TX73_001070,PGIDNB_24035,82.474
TX73_001075,PGIDNB_24040,72.477
TX73_001080,PGIDNB_24045,87.805
TX73_001085,PGIDNB_24050,90.415
TX73_001090,PGIDNB_24055,75.776
TX73_001095,PGIDNB_24290,94.453
TX73_001100,PGIDNB_24285,82.955
TX73_001105,PGIDNB_24280,81.649
TX73_001115,PGIDNB_24265,88.344
TX73_001120,PGIDNB_24260,96.935
TX73_001125,PGIDNB_24255,94.243
TX73_001130,PGIDNB_24250,84.058
TX73_001135,PGIDNB_24245,90.179
TX73_001140,PGIDNB_24240,81.229
TX73_001145,PGIDNB_24230,89.683
TX73_001150,PGIDNB_24220,83.077
TX73_001155,PGIDNB_24215,69.767
TX73_001160,PGIDNB_24210,87.597
TX73_001165,PGIDNB_24205,78.035
TX73_001170,PGIDNB_24200,85.354
TX73_001175,PGIDNB_24195,93.801
TX73_001180,PGIDNB_24190,69.291
TX73_001185,PGIDNB_24185,59.751
TX73_001190,PGIDNB_24180,94.493
TX73_001195,PGIDNB_24175,85.185
TX73_001200,PGIDNB_24160,89.573
TX73_001205,PGIDNB_24155,82.935
TX73_001210,PGIDNB_24150,73.274
TX73_001215,PGIDNB_24145,95.05
TX73_001220,PGIDNB_24140,78.626
TX73_001225,PGIDNB_24135,84.091
TX73_001230,PGIDNB_24130,71.93
TX73_001235,PGIDNB_24125,48.315
TX73_001240,PGIDNB_24120,50.633
TX73_001245,PGIDNB_24115,95.522
TX73_001250,PGIDNB_24110,98.425
TX73_001255,PGIDNB_24105,88.664
TX73_001260,PGIDNB_24100,81.921
TX73_001265,PGIDNB_24095,96.19
TX73_001270,PGIDNB_24090,91.313
TX73_001285,PGIDNB_24080,83.385
TX73_001290,PGIDNB_24075,63.333
TX73_001295,PGIDNB_24070,79.213
TX73_001300,PGIDNB_24065,90.136
TX73_001305,PGIDNB_24060,86.73
TX73_001310,PGIDNB_24295,85.845
TX73_001315,PGIDNB_24300,86.957
TX73_001320,PGIDNB_24305,89.939
TX73_001325,PGIDNB_24310,91.341
TX73_001330,PGIDNB_24315,81.224
TX73_001335,PGIDNB_24320,49.318
TX73_001340,PGIDNB_24325,74.873
TX73_001350,PGIDNB_24370,81.992
TX73_001355,PGIDNB_24365,85.932
TX73_001360,PGIDNB_24360,74.586
TX73_001365,PGIDNB_24355,92.148
TX73_001370,PGIDNB_24350,86.429
TX73_001375,PGIDNB_24345,70.045
TX73_001380,PGIDNB_24340,67.663
TX73_001385,PGIDNB_24335,81.741
TX73_001395,PGIDNB_24390,86.971
TX73_001400,PGIDNB_24395,89.381
TX73_001405,PGIDNB_24400,90.625
TX73_001410,PGIDNB_24405,91.155
TX73_001415,PGIDNB_24410,93.103
TX73_001420,PGIDNB_24415,95.575
TX73_001425,PGIDNB_24430,42.794
TX73_001430,PGIDNB_24425,96.46
TX73_001435,PGIDNB_24430,91.892
TX73_001440,PGIDNB_16060,41.176
TX73_001445,PGIDNB_16065,39.394
TX73_001450,PGIDNB_24450,85.052
TX73_001455,PGIDNB_24455,85.852
TX73_001460,PGIDNB_24460,68.77
TX73_001465,PGIDNB_24465,88.192
TX73_001470,PGIDNB_24470,70.946
TX73_001475,PGIDNB_24475,96.943
TX73_001480,PGIDNB_24480,81.657
TX73_001485,PGIDNB_24485,93.22
TX73_001490,PGIDNB_00565,76.727
TX73_001495,PGIDNB_00570,88.649
TX73_001500,PGIDNB_00575,75.532
TX73_001505,PGIDNB_00580,87.5
TX73_001510,PGIDNB_00585,81.69
TX73_001515,PGIDNB_00590,88.552
TX73_001520,PGIDNB_00595,95.088
TX73_001525,PGIDNB_00600,79.167
TX73_001530,PGIDNB_00610,89.855
TX73_001535,PGIDNB_00615,70.524
TX73_001540,PGIDNB_00625,98.104
TX73_001545,PGIDNB_00630,84.354
TX73_001550,PGIDNB_00635,96.071
TX73_001555,PGIDNB_00640,85.714
TX73_001560,PGIDNB_00645,89.894
TX73_001565,PGIDNB_00650,83.691
TX73_001570,PGIDNB_00655,90.566
TX73_001575,PGIDNB_00660,83.938
TX73_001580,PGIDNB_00665,67.814
TX73_001585,PGIDNB_00670,75.377
TX73_001590,PGIDNB_00675,93.318
TX73_001600,PGIDNB_00685,90.206
TX73_001605,PGIDNB_00690,95.96
TX73_001610,PGIDNB_00695,68.391
TX73_001615,PGIDNB_00700,89.401
TX73_001620,PGIDNB_00705,91.463
TX73_001625,PGIDNB_00710,98.047
TX73_001630,PGIDNB_00715,90.741
TX73_001635,PGIDNB_00720,92.79
TX73_001640,PGIDNB_00725,86.562
TX73_001645,PGIDNB_00730,62.097
TX73_001650,PGIDNB_00740,91.618
TX73_001655,PGIDNB_00745,75
TX73_001660,PGIDNB_00750,78.302
TX73_001665,PGIDNB_00755,72.131
TX73_001670,PGIDNB_00760,92.357
TX73_001675,PGIDNB_00765,66.667
TX73_001680,PGIDNB_00770,78.997
TX73_001685,PGIDNB_00775,82
TX73_001690,PGIDNB_09060,52.941
TX73_001700,PGIDNB_00780,86.528
TX73_001705,PGIDNB_00785,89.423
TX73_001710,PGIDNB_00790,94.538
TX73_001715,PGIDNB_00795,92.287
TX73_001720,PGIDNB_00800,87.766
TX73_001725,PGIDNB_00805,77.044
TX73_001730,PGIDNB_00810,93.849
TX73_001735,PGIDNB_00815,91.076
TX73_001740,PGIDNB_00820,88
TX73_001745,PGIDNB_00825,86.082
TX73_001750,PGIDNB_00830,83.258
TX73_001755,PGIDNB_00835,87.129
TX73_001760,PGIDNB_00840,84.926
TX73_001765,PGIDNB_00845,92.079
TX73_001770,PGIDNB_00850,89.865
TX73_001775,PGIDNB_00855,72.619
TX73_001780,PGIDNB_00860,82.51
TX73_001785,PGIDNB_00865,69.598
TX73_001790,PGIDNB_00870,73.139
TX73_001795,PGIDNB_00880,91.25
TX73_001800,PGIDNB_00885,83.633
TX73_001805,PGIDNB_16590,30.935
TX73_001825,PGIDNB_00900,96.523
TX73_001830,PGIDNB_00905,71.344
TX73_001835,PGIDNB_00910,87.611
TX73_001840,PGIDNB_00915,97.015
TX73_001845,PGIDNB_00920,67.347
TX73_001850,PGIDNB_00925,90.189
TX73_001855,PGIDNB_00930,97.436
TX73_001860,PGIDNB_00935,71.901
TX73_001865,PGIDNB_00940,92.565
TX73_001885,PGIDNB_00945,84.496
TX73_001890,PGIDNB_00955,86.333
TX73_001895,PGIDNB_00960,75.424
TX73_001900,PGIDNB_00965,96.667
TX73_001905,PGIDNB_00970,85.846
TX73_001910,PGIDNB_00975,83.036
TX73_001925,PGIDNB_08535,44.681
TX73_001930,PGIDNB_06435,41.19
TX73_001935,PGIDNB_14935,47.333
TX73_001940,PGIDNB_13995,63.38
TX73_001945,PGIDNB_15495,40
TX73_001950,PGIDNB_01030,77.465
TX73_001955,PGIDNB_11580,42.786
TX73_001960,PGIDNB_01035,81.818
TX73_001970,PGIDNB_01040,78.914
TX73_001975,PGIDNB_01125,83.938
TX73_001980,PGIDNB_01130,88.517
TX73_001985,PGIDNB_01135,82.708
TX73_001990,PGIDNB_02130,85.824
TX73_002000,PGIDNB_02125,88.75
TX73_002010,PGIDNB_02115,80.12
TX73_002015,PGIDNB_02105,93.455
TX73_002020,PGIDNB_02095,87.793
TX73_002025,PGIDNB_02090,78.157
TX73_002030,PGIDNB_02085,81.903
TX73_002035,PGIDNB_23000,87.65
TX73_002040,PGIDNB_23005,93.946
TX73_002045,PGIDNB_23010,69.231
TX73_002050,PGIDNB_23015,82.119
TX73_002055,PGIDNB_23020,76.923
TX73_002060,PGIDNB_23025,92.424
TX73_002065,PGIDNB_23030,77.128
TX73_002070,PGIDNB_16345,47.464
TX73_002075,PGIDNB_18410,29.927
TX73_002080,PGIDNB_23035,95.385
TX73_002085,PGIDNB_23040,76.389
TX73_002090,PGIDNB_23045,70.936
TX73_002095,PGIDNB_23050,84
TX73_002100,PGIDNB_23055,69.697
TX73_002105,PGIDNB_23060,73.276
TX73_002110,PGIDNB_23065,70.894
TX73_002115,PGIDNB_23070,81.462
TX73_002120,PGIDNB_23080,96.217
TX73_002125,PGIDNB_23085,81.265
TX73_002130,PGIDNB_23090,95.882
TX73_002135,PGIDNB_23095,90.395
TX73_002140,PGIDNB_23100,84.615
TX73_002145,PGIDNB_23105,91.554
TX73_002150,PGIDNB_23110,92.523
TX73_002155,PGIDNB_23115,95.876
TX73_002165,PGIDNB_23125,87.085
TX73_002170,PGIDNB_23130,85.629
TX73_002175,PGIDNB_14655,32.71
TX73_002180,PGIDNB_23135,82.895
TX73_002185,PGIDNB_23140,82.166
TX73_002190,PGIDNB_23145,78.618
TX73_002195,PGIDNB_01790,96.108
TX73_002200,PGIDNB_01785,84.615
TX73_002205,PGIDNB_01780,89.726
TX73_002210,PGIDNB_01775,88.068
TX73_002215,PGIDNB_01770,96.333
TX73_002220,PGIDNB_01765,77.652
TX73_002230,PGIDNB_01760,84.196
TX73_002235,PGIDNB_01755,80.831
TX73_002240,PGIDNB_01750,76.909
TX73_002245,PGIDNB_01745,96.266
TX73_002250,PGIDNB_01740,93.333
TX73_002255,PGIDNB_01735,86.413
TX73_002260,PGIDNB_01730,84.058
TX73_002265,PGIDNB_01725,88.989
TX73_002270,PGIDNB_01720,77.866
TX73_002275,PGIDNB_01715,91.963
TX73_002280,PGIDNB_01710,85.283
TX73_002285,PGIDNB_01705,69.359
TX73_002295,PGIDNB_01700,79.654
TX73_002300,PGIDNB_01695,94.928
TX73_002305,PGIDNB_01690,81.784
TX73_002310,PGIDNB_01685,84.718
TX73_002315,PGIDNB_01680,78.035
TX73_002320,PGIDNB_01675,89.235
TX73_002325,PGIDNB_01670,84.599
TX73_002330,PGIDNB_01665,72.222
TX73_002335,PGIDNB_01660,93.75
TX73_002340,PGIDNB_01655,85.714
TX73_002345,PGIDNB_01650,82.759
TX73_002350,PGIDNB_01645,84.831
TX73_002355,PGIDNB_01640,89.091
TX73_002360,PGIDNB_01635,91.014
TX73_002365,PGIDNB_01630,81.431
TX73_002370,PGIDNB_01625,89.222
TX73_002375,PGIDNB_01620,90.066
TX73_002380,PGIDNB_01615,83.081
TX73_002385,PGIDNB_01610,70
TX73_002390,PGIDNB_01605,88.956
TX73_002395,PGIDNB_05140,34.914
TX73_002400,PGIDNB_03075,44.681
TX73_002405,PGIDNB_05945,39.726
TX73_002410,PGIDNB_06590,35.92
TX73_002415,PGIDNB_01600,77.619
TX73_002420,PGIDNB_01595,77.508
TX73_002425,PGIDNB_01590,83.636
TX73_002430,PGIDNB_01585,73.208
TX73_002435,PGIDNB_01580,87.888
TX73_002440,PGIDNB_01575,80.224
TX73_002445,PGIDNB_03530,43.923
TX73_002450,PGIDNB_01570,85.741
TX73_002455,PGIDNB_01565,27.755
TX73_002460,PGIDNB_01555,91.018
TX73_002470,PGIDNB_22035,53.62
TX73_002475,PGIDNB_01530,69.347
TX73_002480,PGIDNB_01525,85.87
TX73_002485,PGIDNB_01520,89.02
TX73_002490,PGIDNB_01515,80.337
TX73_002495,PGIDNB_01510,96.124
TX73_002500,PGIDNB_01505,88.476
TX73_002505,PGIDNB_01500,82.353
TX73_002510,PGIDNB_01495,92.395
TX73_002515,PGIDNB_01490,91.542
TX73_002525,PGIDNB_01485,58.3
TX73_002530,PGIDNB_01480,83.534
TX73_002535,PGIDNB_01475,66.154
TX73_002540,PGIDNB_01470,88.496
TX73_002545,PGIDNB_16870,32.075
TX73_002550,PGIDNB_01465,81.445
TX73_002555,PGIDNB_01460,75.273
TX73_002560,PGIDNB_01455,88.235
TX73_002565,PGIDNB_01450,72.831
TX73_002570,PGIDNB_01445,78.116
TX73_002575,PGIDNB_01440,94.146
TX73_002585,PGIDNB_01435,96.084
TX73_002590,PGIDNB_01430,65.823
TX73_002595,PGIDNB_01425,85.185
TX73_002600,PGIDNB_01420,85.556
TX73_002605,PGIDNB_01415,56.195
TX73_002610,PGIDNB_01410,85.302
TX73_002615,PGIDNB_01405,89.286
TX73_002620,PGIDNB_01400,79.592
TX73_002625,PGIDNB_01395,78.063
TX73_002630,PGIDNB_22010,35.802
TX73_002635,PGIDNB_01390,90.031
TX73_002640,PGIDNB_01385,78.556
TX73_002645,PGIDNB_01380,91.658
TX73_002650,PGIDNB_01375,84.946
TX73_002655,PGIDNB_01260,93.103
TX73_002660,PGIDNB_01275,94.045
TX73_002665,PGIDNB_07825,29.86
TX73_002670,PGIDNB_03455,34.694
TX73_002675,PGIDNB_05605,32.692
TX73_002680,PGIDNB_01280,83.23
TX73_002685,PGIDNB_01285,85.424
TX73_002690,PGIDNB_01290,93.75
TX73_002695,PGIDNB_01300,80.515
TX73_002700,PGIDNB_08535,52.208
TX73_002710,PGIDNB_01305,81.659
TX73_002715,PGIDNB_01310,90.615
TX73_002720,PGIDNB_01315,81.532
TX73_002725,PGIDNB_01320,93.443
TX73_002730,PGIDNB_01325,61.836
TX73_002735,PGIDNB_01330,58.889
TX73_002740,PGIDNB_01335,82.655
TX73_002745,PGIDNB_01340,88.384
TX73_002750,PGIDNB_01345,92.112
TX73_002755,PGIDNB_01350,91.322
TX73_002760,PGIDNB_01355,87.847
TX73_002765,PGIDNB_01360,74.545
TX73_002770,PGIDNB_01365,85.482
TX73_002775,PGIDNB_01370,85.227
TX73_002780,PGIDNB_01255,92.885
TX73_002785,PGIDNB_01250,81.633
TX73_002790,PGIDNB_01245,65.161
TX73_002795,PGIDNB_01235,40.909
TX73_002805,PGIDNB_01225,66.298
TX73_002810,PGIDNB_01205,86.286
TX73_002815,PGIDNB_01200,65.169
TX73_002820,PGIDNB_01195,71.875
TX73_002825,PGIDNB_01190,88.382
TX73_002830,PGIDNB_01185,58.904
TX73_002835,PGIDNB_01180,78.531
TX73_002840,PGIDNB_01165,72.549
TX73_002845,PGIDNB_01160,75.113
TX73_002850,PGIDNB_01155,78.125
TX73_002855,PGIDNB_23630,40
TX73_002860,PGIDNB_13530,47.494
TX73_002875,PGIDNB_04070,33.621
TX73_002880,PGIDNB_01145,93.548
TX73_002885,PGIDNB_01140,90.39
TX73_002890,PGIDNB_02135,90.85
TX73_002895,PGIDNB_02140,90.196
TX73_002900,PGIDNB_02145,77.706
TX73_002905,PGIDNB_02150,72.906
TX73_002910,PGIDNB_02155,91.63
TX73_002915,PGIDNB_02160,76.667
TX73_002920,PGIDNB_02175,83.117
TX73_002925,PGIDNB_02195,56.25
TX73_002930,PGIDNB_02200,67.003
TX73_002935,PGIDNB_02205,78.571
TX73_002940,PGIDNB_02210,63.385
TX73_002945,PGIDNB_02215,86.239
TX73_002950,PGIDNB_02220,83.378
TX73_002955,PGIDNB_02225,90.625
TX73_002960,PGIDNB_02230,95.135
TX73_002965,PGIDNB_02235,85.219
TX73_002970,PGIDNB_02240,89.496
TX73_002975,PGIDNB_02245,88.809
TX73_002980,PGIDNB_02255,92.727
TX73_002985,PGIDNB_02260,92.742
TX73_002990,PGIDNB_02265,82.1
TX73_002995,PGIDNB_02270,84.524
TX73_003000,PGIDNB_02275,78.378
TX73_003005,PGIDNB_02280,85.749
TX73_003015,PGIDNB_02285,86.014
TX73_003020,PGIDNB_02290,63.146
TX73_003025,PGIDNB_15055,90.451
TX73_003030,PGIDNB_02190,30.569
TX73_003035,PGIDNB_21380,79.791
TX73_003040,PGIDNB_00500,27.569
TX73_003045,PGIDNB_08780,49.02
TX73_003050,PGIDNB_10060,47.027
TX73_003055,PGIDNB_23795,48.802
TX73_003060,PGIDNB_02305,91.444
TX73_003065,PGIDNB_02330,88.647
TX73_003075,PGIDNB_02335,95.522
TX73_003080,PGIDNB_02340,84
TX73_003085,PGIDNB_02345,89.109
TX73_003090,PGIDNB_02350,86.047
TX73_003095,PGIDNB_02355,92.222
TX73_003100,PGIDNB_02360,86.667
TX73_003105,PGIDNB_02365,79.762
TX73_003110,PGIDNB_02370,79.577
TX73_003115,PGIDNB_02375,88.667
TX73_003120,PGIDNB_02385,89.37
TX73_003125,PGIDNB_02390,95.215
TX73_003130,PGIDNB_02395,93.122
TX73_003135,PGIDNB_02400,92.265
TX73_003140,PGIDNB_02405,73.507
TX73_003145,PGIDNB_02410,81.643
TX73_003150,PGIDNB_02415,83.73
TX73_003155,PGIDNB_02420,89.844
TX73_003160,PGIDNB_02425,79.137
TX73_003165,PGIDNB_02435,80.844
TX73_003170,PGIDNB_02440,83.923
TX73_003175,PGIDNB_02445,86.232
TX73_003185,PGIDNB_02455,84.026
TX73_003190,PGIDNB_02460,90.909
TX73_003195,PGIDNB_02465,93.909
TX73_003200,PGIDNB_02470,66.434
TX73_003205,PGIDNB_02475,90.531
TX73_003210,PGIDNB_02480,76.961
TX73_003215,PGIDNB_02485,94.318
TX73_003220,PGIDNB_02490,85.621
TX73_003225,PGIDNB_02495,91.463
TX73_003230,PGIDNB_02500,89.147
TX73_003240,PGIDNB_02510,89.716
TX73_003245,PGIDNB_02515,87.069
TX73_003250,PGIDNB_02520,76.687
TX73_003255,PGIDNB_02525,95.987
TX73_003260,PGIDNB_02530,76.423
TX73_003265,PGIDNB_02535,89.302
TX73_003270,PGIDNB_02540,83.548
TX73_003275,PGIDNB_02545,85.714
TX73_003285,PGIDNB_02550,90.927
TX73_003315,PGIDNB_06670,33.526
TX73_003340,PGIDNB_05335,32.597
TX73_003345,PGIDNB_17285,37.405
TX73_003360,PGIDNB_17360,34.897
TX73_003370,PGIDNB_18050,85.328
TX73_003375,PGIDNB_18055,87.226
TX73_003380,PGIDNB_18060,90.625
TX73_003385,PGIDNB_18065,96.935
TX73_003390,PGIDNB_18070,87.109
TX73_003395,PGIDNB_18075,81.818
TX73_003400,PGIDNB_18080,85.075
TX73_003405,PGIDNB_18085,93.418
TX73_003410,PGIDNB_18090,95.195
TX73_003415,PGIDNB_18095,92.009
TX73_003420,PGIDNB_18100,84.892
TX73_003425,PGIDNB_18105,86.476
TX73_003430,PGIDNB_18110,78.049
TX73_003435,PGIDNB_18130,80.645
TX73_003440,PGIDNB_18135,75.625
TX73_003445,PGIDNB_03035,55.745
TX73_003450,PGIDNB_03030,48.77
TX73_003455,PGIDNB_03020,57.5
TX73_003460,PGIDNB_03015,54.155
TX73_003465,PGIDNB_18145,82.718
TX73_003470,PGIDNB_18150,81.098
TX73_003475,PGIDNB_18155,89.655
TX73_003480,PGIDNB_18160,75.078
TX73_003485,PGIDNB_18165,88.017
TX73_003490,PGIDNB_12330,38.372
TX73_003495,PGIDNB_22240,76.277
TX73_003500,PGIDNB_22235,81.317
TX73_003505,PGIDNB_22230,90.249
TX73_003510,PGIDNB_21830,40.8
TX73_003520,PGIDNB_03075,44.737
TX73_003525,PGIDNB_00475,41.284
TX73_003530,PGIDNB_00470,58.04
TX73_003535,PGIDNB_00465,46.739
TX73_003540,PGIDNB_23345,65.517
TX73_003545,PGIDNB_07080,36.742
TX73_003550,PGIDNB_03995,36.19
TX73_003555,PGIDNB_05860,74.257
TX73_003560,PGIDNB_05865,61.856
TX73_003565,PGIDNB_05870,84.935
TX73_003570,PGIDNB_05875,73.333
TX73_003575,PGIDNB_05880,83.588
TX73_003580,PGIDNB_05885,90.136
TX73_003585,PGIDNB_05890,84.011
TX73_003590,PGIDNB_05895,61.14
TX73_003595,PGIDNB_05900,69.536
TX73_003600,PGIDNB_05905,68.724
TX73_003610,PGIDNB_05910,62.23
TX73_003615,PGIDNB_05915,58.824
