,DSM123
RPE_RS17180,0
RPE_RS17185,0
RPE_RS17190,0
RPE_RS17200,0
RPE_RS17225,1
RPE_RS17230,0
RPE_RS17240,1
RPE_RS17270,0
RPE_RS17300,0
RPE_RS17460,1
RPE_RS17465,1
RPE_RS17470,1
RPE_RS17505,0
RPE_RS17545,0
RPE_RS17550,0
RPE_RS17570,0
RPE_RS17585,0
RPE_RS17670,1
RPE_RS17715,0
RPE_RS17740,1
RPE_RS17780,0
RPE_RS17785,1
RPE_RS17835,0
RPE_RS17860,1
RPE_RS18005,1
RPE_RS18055,1
RPE_RS18105,1
RPE_RS18115,1
RPE_RS18145,0
RPE_RS18150,0
RPE_RS18230,0
RPE_RS18260,0
RPE_RS18270,1
RPE_RS18300,1
RPE_RS18305,1
RPE_RS18365,0
RPE_RS18375,0
RPE_RS18415,1
RPE_RS18445,1
RPE_RS18450,1
RPE_RS18455,0
RPE_RS18460,1
RPE_RS18465,1
RPE_RS18470,1
RPE_RS18475,1
RPE_RS18485,0
RPE_RS18500,0
RPE_RS18535,1
RPE_RS18560,1
RPE_RS18565,1
RPE_RS18570,1
RPE_RS18575,1
RPE_RS18580,1
RPE_RS18585,0
RPE_RS18595,0
RPE_RS18600,1
RPE_RS18605,1
RPE_RS18610,1
RPE_RS18620,0
RPE_RS18625,1
RPE_RS18655,1
RPE_RS18675,1
RPE_RS18680,0
RPE_RS18685,1
RPE_RS18690,1
RPE_RS18695,1
RPE_RS18700,1
RPE_RS18795,1
RPE_RS18805,0
RPE_RS18810,1
RPE_RS18825,1
RPE_RS18830,1
RPE_RS18835,1
RPE_RS18840,1
RPE_RS18850,1
RPE_RS18865,1
RPE_RS18870,1
RPE_RS18875,1
RPE_RS18885,1
RPE_RS18895,1
RPE_RS18900,1
RPE_RS18905,1
RPE_RS18915,1
RPE_RS18960,1
RPE_RS18985,1
RPE_RS19000,0
RPE_RS19015,1
RPE_RS19020,1
RPE_RS19030,0
RPE_RS19045,1
RPE_RS19060,0
RPE_RS19100,1
RPE_RS19125,1
RPE_RS19135,1
RPE_RS19155,0
RPE_RS19200,1
RPE_RS19225,1
RPE_RS19235,0
RPE_RS19240,0
RPE_RS19250,1
RPE_RS19255,1
RPE_RS19265,1
RPE_RS19275,1
RPE_RS19285,0
RPE_RS19295,0
RPE_RS19300,0
RPE_RS19305,0
RPE_RS19310,0
RPE_RS19315,0
RPE_RS19335,0
RPE_RS19340,0
RPE_RS19350,1
RPE_RS19355,1
RPE_RS19365,1
RPE_RS19375,1
RPE_RS19390,0
RPE_RS19395,0
RPE_RS19410,0
RPE_RS19415,0
RPE_RS19420,0
RPE_RS19425,0
RPE_RS19440,0
RPE_RS19450,0
RPE_RS19455,0
RPE_RS19460,0
RPE_RS19525,0
RPE_RS19575,1
RPE_RS19585,1
RPE_RS19595,1
RPE_RS19615,0
RPE_RS19660,1
RPE_RS19675,1
RPE_RS19680,1
RPE_RS19685,1
RPE_RS19705,1
RPE_RS19715,1
RPE_RS19720,0
RPE_RS19750,1
RPE_RS19785,1
RPE_RS19790,1
RPE_RS19800,1
RPE_RS19820,1
RPE_RS19855,0
RPE_RS19860,1
RPE_RS19905,0
RPE_RS19930,1
RPE_RS20355,1
RPE_RS20360,1
RPE_RS20375,1
RPE_RS20380,1
RPE_RS20395,1
RPE_RS20400,1
RPE_RS20405,1
RPE_RS20410,1
RPE_RS20415,1
RPE_RS20430,1
RPE_RS20435,1
RPE_RS20440,1
RPE_RS20465,0
RPE_RS20470,1
RPE_RS20475,1
RPE_RS20480,1
RPE_RS20540,1
RPE_RS20620,1
RPE_RS20625,1
RPE_RS20635,1
RPE_RS20640,1
RPE_RS20695,1
RPE_RS20710,0
RPE_RS20715,0
RPE_RS20720,0
RPE_RS20735,1
RPE_RS20745,1
RPE_RS20795,1
RPE_RS20800,1
RPE_RS20830,1
RPE_RS20835,1
RPE_RS20840,1
RPE_RS20865,1
RPE_RS20880,1
RPE_RS20895,1
RPE_RS20910,1
RPE_RS20920,0
RPE_RS20975,1
RPE_RS21000,1
RPE_RS21005,1
RPE_RS21015,1
RPE_RS21040,1
RPE_RS21045,1
RPE_RS21060,1
RPE_RS21070,0
RPE_RS21080,1
RPE_RS21085,0
RPE_RS21115,1
RPE_RS21120,1
RPE_RS21145,1
RPE_RS21155,0
RPE_RS21175,0
RPE_RS21185,0
RPE_RS21225,0
RPE_RS21245,0
RPE_RS21250,0
RPE_RS21255,0
RPE_RS21265,0
RPE_RS21270,0
RPE_RS21280,0
RPE_RS21290,1
RPE_RS21300,1
RPE_RS21330,0
RPE_RS21340,0
RPE_RS21345,1
RPE_RS21355,0
RPE_RS21375,1
RPE_RS21380,0
RPE_RS21415,0
RPE_RS21520,1
RPE_RS21525,1
RPE_RS21570,1
RPE_RS21615,1
RPE_RS21630,0
RPE_RS21710,1
RPE_RS21715,1
RPE_RS21720,1
RPE_RS21725,1
RPE_RS21745,1
RPE_RS21780,1
RPE_RS21785,1
RPE_RS21815,1
RPE_RS21860,0
RPE_RS21900,1
RPE_RS21920,1
RPE_RS21940,1
RPE_RS21955,1
RPE_RS21975,0
RPE_RS21985,1
RPE_RS21990,1
RPE_RS21995,1
RPE_RS22000,1
RPE_RS22015,1
RPE_RS22030,1
RPE_RS22040,1
RPE_RS22065,1
RPE_RS22075,1
RPE_RS22120,1
RPE_RS22200,0
RPE_RS22205,1
RPE_RS22245,1
RPE_RS22255,1
RPE_RS22310,0
RPE_RS22325,1
RPE_RS22390,1
RPE_RS22410,1
RPE_RS22420,0
RPE_RS22440,0
RPE_RS22510,0
RPE_RS22515,0
RPE_RS22540,0
RPE_RS22575,1
RPE_RS22580,1
RPE_RS22585,0
RPE_RS22590,1
RPE_RS22640,1
RPE_RS22685,1
RPE_RS22695,1
RPE_RS22720,0
RPE_RS22730,1
RPE_RS22735,1
RPE_RS22740,1
RPE_RS22900,0
RPE_RS22910,1
RPE_RS22925,1
RPE_RS22930,1
RPE_RS22935,1
RPE_RS22950,1
RPE_RS22955,1
RPE_RS22965,1
RPE_RS22990,1
RPE_RS23040,1
RPE_RS23070,0
RPE_RS23075,1
RPE_RS23105,1
RPE_RS23110,1
RPE_RS23115,1
RPE_RS23160,0
RPE_RS23165,0
RPE_RS23170,0
RPE_RS23175,0
RPE_RS23215,1
RPE_RS23220,1
RPE_RS23225,1
RPE_RS23230,1
RPE_RS23235,1
RPE_RS23245,1
RPE_RS23265,0
RPE_RS23285,1
RPE_RS23290,0
RPE_RS23320,1
RPE_RS23385,1
RPE_RS23395,0
RPE_RS23435,1
RPE_RS23450,1
RPE_RS23455,1
RPE_RS23460,1
RPE_RS23475,1
RPE_RS23515,1
RPE_RS23565,1
RPE_RS23575,1
RPE_RS23590,1
RPE_RS23605,1
RPE_RS23620,1
RPE_RS23625,1
RPE_RS23690,1
RPE_RS23695,1
RPE_RS23735,1
RPE_RS23740,1
RPE_RS23745,1
RPE_RS23760,1
RPE_RS23775,1
RPE_RS23825,1
RPE_RS23860,0
RPE_RS23865,1
RPE_RS23870,1
RPE_RS23875,1
RPE_RS23880,1
RPE_RS23905,1
RPE_RS23915,1
RPE_RS23920,1
RPE_RS23985,1
RPE_RS23995,1
RPE_RS24020,1
RPE_RS24060,1
RPE_RS24065,0
RPE_RS24095,1
RPE_RS24110,1
RPE_RS24125,1
RPE_RS24140,1
RPE_RS24165,1
RPE_RS24175,0
RPE_RS24180,1
RPE_RS24190,1
RPE_RS24215,1
RPE_RS24230,1
RPE_RS24310,1
RPE_RS24375,1
RPE_RS24405,1
