rpal_gene,primary_target,all_targets,target_count,best_hit,best_pident,best_qcov,best_evalue,best_bitscore,pass_threshold,reverse_supported,has_extra_copies
RPE_RS00155,ACXYSJ_23135,ACXYSJ_23135,1,ACXYSJ_23135,70.47,100.00,1.52e-93,268.0,yes,yes,no
RPE_RS00160,ACXYSJ_23140,ACXYSJ_23140,1,ACXYSJ_23140,78.84,100.17,0.00e+00,931.0,yes,yes,no
RPE_RS00165,ACXYSJ_23145,ACXYSJ_23145,1,ACXYSJ_23145,96.40,99.78,0.00e+00,893.0,yes,yes,no
RPE_RS00170,ACXYSJ_23150,ACXYSJ_23150,1,ACXYSJ_23150,80.62,99.23,2.23e-145,404.0,yes,yes,no
RPE_RS00175,ACXYSJ_23155,ACXYSJ_23155,1,ACXYSJ_23155,70.25,88.27,2.81e-72,213.0,yes,yes,no
RPE_RS00180,ACXYSJ_23160,ACXYSJ_23160,1,ACXYSJ_23160,79.90,97.98,2.69e-114,321.0,yes,yes,no
RPE_RS00185,ACXYSJ_23165,ACXYSJ_23165,1,ACXYSJ_23165,85.36,99.75,0.00e+00,721.0,yes,yes,no
RPE_RS00190,ACXYSJ_23170,ACXYSJ_23170,1,ACXYSJ_23170,75.39,96.95,2.11e-100,285.0,yes,yes,no
RPE_RS00195,ACXYSJ_23175,ACXYSJ_23175,1,ACXYSJ_23175,93.21,99.69,0.00e+00,592.0,yes,yes,no
RPE_RS00200,,,0,ACXYSJ_23220,63.48,97.61,3.47e-169,478.0,no,no,no
RPE_RS00205,ACXYSJ_23225,ACXYSJ_23225,1,ACXYSJ_23225,93.49,99.41,1.81e-109,306.0,yes,yes,no
RPE_RS00210,ACXYSJ_23230,ACXYSJ_23230,1,ACXYSJ_23230,89.33,98.34,1.17e-120,335.0,yes,yes,no
RPE_RS00215,ACXYSJ_23235,ACXYSJ_23235,1,ACXYSJ_23235,74.44,99.80,0.00e+00,762.0,yes,yes,no
RPE_RS00220,ACXYSJ_03385,ACXYSJ_03385,1,ACXYSJ_07170,63.60,99.82,0.00e+00,690.0,yes,yes,no
RPE_RS00225,ACXYSJ_23240,ACXYSJ_23240,1,ACXYSJ_23240,93.56,99.66,0.00e+00,555.0,yes,yes,no
RPE_RS00230,ACXYSJ_23245,ACXYSJ_23245,1,ACXYSJ_23245,78.64,94.50,6.55e-54,161.0,yes,yes,no
RPE_RS00235,ACXYSJ_23250,ACXYSJ_23250,1,ACXYSJ_23250,85.42,98.97,1.21e-44,137.0,yes,yes,no
RPE_RS00250,,,0,,,,,,no,no,no
RPE_RS00255,ACXYSJ_23265,ACXYSJ_23265,1,ACXYSJ_23265,78.48,97.53,8.49e-92,261.0,yes,yes,no
RPE_RS00260,,,0,,,,,,no,no,no
RPE_RS00265,ACXYSJ_23270,ACXYSJ_23270,1,ACXYSJ_23270,76.45,99.62,1.00e-142,398.0,yes,yes,no
RPE_RS00270,ACXYSJ_23275,ACXYSJ_23275,1,ACXYSJ_23275,75.16,98.74,2.84e-83,239.0,yes,yes,no
RPE_RS00275,,,0,ACXYSJ_14285,27.59,55.53,1.62e-09,57.0,no,no,no
RPE_RS00280,ACXYSJ_23280,ACXYSJ_23280,1,ACXYSJ_23280,73.38,98.51,0.00e+00,696.0,yes,yes,no
RPE_RS00285,ACXYSJ_23290,ACXYSJ_23290,1,ACXYSJ_23290,76.47,100.00,0.00e+00,809.0,yes,yes,no
RPE_RS00290,ACXYSJ_23295,ACXYSJ_23295,1,ACXYSJ_23295,75.51,68.06,8.88e-23,80.1,yes,yes,no
RPE_RS00295,,,0,,,,,,no,no,no
RPE_RS00310,,,0,ACXYSJ_24445,61.87,103.46,0.00e+00,656.0,no,no,no
RPE_RS00320,ACXYSJ_24435,ACXYSJ_24435,1,ACXYSJ_24435,66.53,99.60,1.01e-114,326.0,yes,yes,no
RPE_RS00325,ACXYSJ_24430,ACXYSJ_24430,1,ACXYSJ_24430,86.80,91.28,0.00e+00,594.0,yes,yes,no
RPE_RS00330,ACXYSJ_24425,ACXYSJ_24425,1,ACXYSJ_24425,86.28,99.70,0.00e+00,501.0,yes,yes,no
RPE_RS00335,ACXYSJ_24420,ACXYSJ_24420,1,ACXYSJ_24420,89.78,99.28,1.98e-89,253.0,yes,yes,no
RPE_RS00340,ACXYSJ_24415,ACXYSJ_24415,1,ACXYSJ_24415,81.65,98.64,2.62e-121,340.0,yes,yes,no
RPE_RS00345,ACXYSJ_24410,ACXYSJ_24410,1,ACXYSJ_24410,91.50,99.69,0.00e+00,1241.0,yes,yes,no
RPE_RS00355,ACXYSJ_20810,ACXYSJ_20810,1,ACXYSJ_20810,71.43,99.02,1.10e-107,305.0,yes,yes,no
RPE_RS00360,,,0,,,,,,no,no,no
RPE_RS00365,ACXYSJ_21090,ACXYSJ_21090,1,ACXYSJ_21090,79.47,98.37,2.88e-178,492.0,yes,yes,no
RPE_RS00370,ACXYSJ_06010,ACXYSJ_06010,1,ACXYSJ_06010,89.76,99.74,0.00e+00,722.0,yes,yes,no
RPE_RS00375,,,0,,,,,,no,no,no
RPE_RS00380,,,0,,,,,,no,no,no
RPE_RS00385,,,0,,,,,,no,no,no
RPE_RS00390,,,0,,,,,,no,no,no
RPE_RS00395,,,0,ACXYSJ_17715,38.32,101.54,9.74e-107,330.0,no,no,no
RPE_RS00405,,,0,,,,,,no,no,no
RPE_RS00410,,,0,ACXYSJ_16770,26.97,93.35,4.53e-38,139.0,no,no,no
RPE_RS00415,,,0,,,,,,no,no,no
RPE_RS00420,,,0,ACXYSJ_21080,64.26,100.40,1.04e-107,308.0,no,no,no
RPE_RS00425,,,0,ACXYSJ_06985,47.95,98.32,7.35e-97,284.0,no,no,no
RPE_RS00430,,,0,ACXYSJ_06980,50.31,99.26,0.00e+00,727.0,no,no,no
RPE_RS00435,ACXYSJ_06975,ACXYSJ_06975,1,ACXYSJ_06975,67.92,100.91,0.00e+00,1531.0,yes,yes,no
RPE_RS00440,,,0,,,,,,no,no,no
RPE_RS00445,ACXYSJ_02080,ACXYSJ_02080,1,ACXYSJ_02080,75.15,91.57,0.00e+00,1091.0,yes,yes,no
RPE_RS00450,ACXYSJ_02085,ACXYSJ_02085,1,ACXYSJ_02085,75.61,90.54,9.57e-153,428.0,yes,yes,no
RPE_RS00455,,,0,,,,,,no,no,no
RPE_RS00460,ACXYSJ_02090,ACXYSJ_02090,1,ACXYSJ_02090,82.08,99.50,0.00e+00,954.0,yes,yes,no
RPE_RS00470,ACXYSJ_02100,ACXYSJ_02100,1,ACXYSJ_02100,87.13,98.91,0.00e+00,506.0,yes,yes,no
RPE_RS00475,,,0,,,,,,no,no,no
RPE_RS00480,,,0,ACXYSJ_15560,32.30,84.51,2.22e-42,149.0,no,no,no
RPE_RS00485,,,0,ACXYSJ_15550,26.67,63.03,1.82e-15,69.7,no,no,no
RPE_RS00490,,,0,ACXYSJ_15555,36.45,33.49,4.82e-31,125.0,no,no,no
RPE_RS00495,,,0,,,,,,no,no,no
RPE_RS00500,ACXYSJ_02105,ACXYSJ_02105,1,ACXYSJ_02105,80.61,101.23,0.00e+00,528.0,yes,yes,no
RPE_RS00505,,,0,,,,,,no,no,no
RPE_RS00510,ACXYSJ_02115,ACXYSJ_02115,1,ACXYSJ_02115,83.26,100.00,6.97e-143,396.0,yes,yes,no
RPE_RS00515,ACXYSJ_01595,ACXYSJ_01595,1,ACXYSJ_01595,79.43,88.94,1.70e-125,352.0,yes,yes,no
RPE_RS00520,ACXYSJ_01590,ACXYSJ_01590,1,ACXYSJ_01590,77.78,99.08,0.00e+00,519.0,yes,yes,no
RPE_RS00525,ACXYSJ_01585,ACXYSJ_01585,1,ACXYSJ_01585,79.69,96.31,2.99e-122,347.0,yes,yes,no
RPE_RS00530,ACXYSJ_01580,ACXYSJ_01580,1,ACXYSJ_01580,73.44,94.12,9.68e-133,374.0,yes,yes,no
RPE_RS00535,,,0,,,,,,no,no,no
RPE_RS00540,ACXYSJ_01570,ACXYSJ_01570,1,ACXYSJ_01570,76.95,99.26,8.45e-150,417.0,yes,yes,no
RPE_RS00545,,,0,,,,,,no,no,no
RPE_RS00550,ACXYSJ_01565,ACXYSJ_01565,1,ACXYSJ_01565,80.96,100.00,0.00e+00,924.0,yes,yes,no
RPE_RS00555,,,0,ACXYSJ_01560,61.52,99.40,1.23e-134,383.0,no,no,no
RPE_RS00560,ACXYSJ_01555,ACXYSJ_01555,1,ACXYSJ_01555,66.67,99.77,0.00e+00,589.0,yes,yes,no
RPE_RS00565,ACXYSJ_01550,ACXYSJ_01550,1,ACXYSJ_01550,82.53,99.40,0.00e+00,575.0,yes,yes,no
RPE_RS00575,,,0,ACXYSJ_00385,32.68,21.35,5.23e-23,100.0,no,no,no
RPE_RS00580,ACXYSJ_01530,ACXYSJ_01530,1,ACXYSJ_01530,69.46,102.01,3.03e-76,224.0,yes,yes,no
RPE_RS00585,ACXYSJ_01525,ACXYSJ_01525,1,ACXYSJ_01525,78.26,95.83,2.16e-46,141.0,yes,yes,no
RPE_RS00590,ACXYSJ_01520,ACXYSJ_01520,1,ACXYSJ_01520,76.83,99.23,6.35e-136,380.0,yes,yes,no
RPE_RS00595,ACXYSJ_01515,ACXYSJ_01515,1,ACXYSJ_01515,74.43,98.88,0.00e+00,502.0,yes,yes,no
RPE_RS00600,ACXYSJ_01510,ACXYSJ_01510,1,ACXYSJ_01510,89.90,99.74,0.00e+00,726.0,yes,yes,no
RPE_RS00605,ACXYSJ_01505,ACXYSJ_01505,1,ACXYSJ_01505,75.37,100.00,8.28e-131,368.0,yes,yes,no
RPE_RS00610,,,0,ACXYSJ_01485,57.51,94.72,2.97e-81,241.0,no,no,no
RPE_RS00615,ACXYSJ_01480,ACXYSJ_01480,1,ACXYSJ_01480,82.72,98.78,0.00e+00,804.0,yes,yes,no
RPE_RS00630,ACXYSJ_01470,ACXYSJ_01470,1,ACXYSJ_01470,85.71,99.12,5.66e-72,207.0,yes,yes,no
RPE_RS00635,ACXYSJ_01465,ACXYSJ_01465,1,ACXYSJ_01465,80.90,98.89,4.67e-42,129.0,yes,yes,no
RPE_RS00640,ACXYSJ_01460,ACXYSJ_01460,1,ACXYSJ_01460,73.49,101.97,0.00e+00,1552.0,yes,yes,no
RPE_RS00645,ACXYSJ_01455,ACXYSJ_01455,1,ACXYSJ_01455,66.18,90.46,6.62e-137,385.0,yes,yes,no
RPE_RS00650,ACXYSJ_01450,ACXYSJ_01450,1,ACXYSJ_01450,84.78,90.20,2.22e-54,162.0,yes,yes,no
RPE_RS00655,,,0,ACXYSJ_01445,61.05,98.49,0.00e+00,1278.0,no,no,no
RPE_RS00660,ACXYSJ_01440,ACXYSJ_01440,1,ACXYSJ_01440,69.49,92.98,3.94e-164,460.0,yes,yes,no
RPE_RS00665,ACXYSJ_01435,ACXYSJ_01435,1,ACXYSJ_01435,88.91,99.68,0.00e+00,1131.0,yes,yes,no
RPE_RS00670,,,0,,,,,,no,no,no
RPE_RS00675,,,0,,,,,,no,no,no
RPE_RS00680,ACXYSJ_01430,ACXYSJ_01430,1,ACXYSJ_01430,94.26,99.70,0.00e+00,647.0,yes,yes,no
RPE_RS00685,,,0,ACXYSJ_13430,33.55,72.77,1.84e-20,82.0,no,no,no
RPE_RS00690,ACXYSJ_01420,ACXYSJ_01420,1,ACXYSJ_01420,73.02,99.54,8.86e-110,311.0,yes,yes,no
RPE_RS00695,,,0,ACXYSJ_01415,64.05,97.80,7.25e-38,119.0,no,no,no
RPE_RS00700,ACXYSJ_01380,ACXYSJ_01380,1,ACXYSJ_01380,68.48,99.38,0.00e+00,640.0,yes,yes,no
RPE_RS00705,ACXYSJ_01385,ACXYSJ_01385,1,ACXYSJ_01385,87.81,99.69,0.00e+00,581.0,yes,yes,no
RPE_RS00710,ACXYSJ_01390,ACXYSJ_01390,1,ACXYSJ_01390,74.61,98.78,1.28e-164,460.0,yes,yes,no
RPE_RS00715,ACXYSJ_01395,ACXYSJ_01395,1,ACXYSJ_01395,75.00,97.96,2.56e-24,82.0,yes,yes,no
RPE_RS00720,ACXYSJ_01400,ACXYSJ_01400,1,ACXYSJ_01400,79.90,99.03,2.34e-113,319.0,yes,yes,no
RPE_RS00725,ACXYSJ_01405,ACXYSJ_01405,1,ACXYSJ_01405,84.51,99.74,0.00e+00,649.0,yes,yes,no
RPE_RS00730,,,0,ACXYSJ_01410,54.63,96.43,5.86e-155,444.0,no,no,no
RPE_RS00735,ACXYSJ_01375,ACXYSJ_01375,1,ACXYSJ_01375,86.91,99.89,0.00e+00,1719.0,yes,yes,no
RPE_RS00740,ACXYSJ_01370,ACXYSJ_01370,1,ACXYSJ_01370,76.70,90.00,1.05e-154,432.0,yes,yes,no
RPE_RS00745,ACXYSJ_02320,ACXYSJ_02320,1,ACXYSJ_02320,85.47,99.76,0.00e+00,698.0,yes,yes,no
RPE_RS00750,ACXYSJ_02325,ACXYSJ_02325,1,ACXYSJ_02325,87.22,99.25,1.54e-82,235.0,yes,yes,no
RPE_RS00755,ACXYSJ_02330,ACXYSJ_02330,1,ACXYSJ_02330,77.45,98.21,1.12e-128,364.0,yes,yes,no
RPE_RS00760,ACXYSJ_02335,ACXYSJ_02335,1,ACXYSJ_02335,75.86,84.47,2.09e-47,144.0,yes,yes,no
RPE_RS00765,ACXYSJ_02340,ACXYSJ_02340,1,ACXYSJ_02340,80.95,99.64,1.82e-152,424.0,yes,yes,no
RPE_RS00770,ACXYSJ_02345,ACXYSJ_02345,1,ACXYSJ_02345,80.00,97.83,8.74e-52,154.0,yes,yes,no
RPE_RS00775,ACXYSJ_02350,ACXYSJ_02350,1,ACXYSJ_02350,80.35,95.96,3.36e-174,480.0,yes,yes,no
RPE_RS00780,ACXYSJ_02355,ACXYSJ_02355,1,ACXYSJ_02355,71.01,99.41,8.60e-82,236.0,yes,yes,no
RPE_RS00785,ACXYSJ_02365,ACXYSJ_02365,1,ACXYSJ_02365,81.88,99.33,1.87e-148,416.0,yes,yes,no
RPE_RS00790,ACXYSJ_02375,ACXYSJ_02375,1,ACXYSJ_02375,80.95,99.21,2.09e-158,437.0,yes,yes,no
RPE_RS00795,ACXYSJ_02380,ACXYSJ_02380,1,ACXYSJ_02380,93.75,99.52,0.00e+00,754.0,yes,yes,no
RPE_RS00800,ACXYSJ_02385,ACXYSJ_02385,1,ACXYSJ_02385,90.73,99.87,0.00e+00,1391.0,yes,yes,no
RPE_RS00805,ACXYSJ_02390,ACXYSJ_02390,1,ACXYSJ_02390,88.27,99.44,0.00e+00,653.0,yes,yes,no
RPE_RS00810,ACXYSJ_02395,ACXYSJ_02395,1,ACXYSJ_02395,66.30,85.99,1.45e-113,327.0,yes,yes,no
RPE_RS00815,ACXYSJ_02400,ACXYSJ_02400,1,ACXYSJ_02400,74.31,86.51,2.60e-74,223.0,yes,yes,no
RPE_RS00820,ACXYSJ_02405,ACXYSJ_02405,1,ACXYSJ_02405,78.05,96.47,3.42e-144,401.0,yes,yes,no
RPE_RS00825,ACXYSJ_02410,ACXYSJ_02410,1,ACXYSJ_02410,77.65,99.61,1.30e-151,420.0,yes,yes,no
RPE_RS00830,ACXYSJ_02415,ACXYSJ_02415,1,ACXYSJ_02415,72.99,93.20,8.68e-69,201.0,yes,yes,no
RPE_RS00835,ACXYSJ_01350,ACXYSJ_01350,1,ACXYSJ_01350,81.47,97.95,2.70e-138,389.0,yes,yes,no
RPE_RS00840,ACXYSJ_01345,ACXYSJ_01345,1,ACXYSJ_01345,85.89,99.59,7.58e-157,432.0,yes,yes,no
RPE_RS00845,ACXYSJ_01340,ACXYSJ_01340,1,ACXYSJ_01340,92.35,99.75,0.00e+00,743.0,yes,yes,no
RPE_RS00850,ACXYSJ_01335,ACXYSJ_01335,1,ACXYSJ_01335,79.70,100.00,2.37e-113,318.0,yes,yes,no
RPE_RS00855,,,0,ACXYSJ_03175,43.06,94.74,4.45e-09,45.4,no,no,no
RPE_RS00860,ACXYSJ_01330,ACXYSJ_01330,1,ACXYSJ_01330,76.45,98.05,0.00e+00,859.0,yes,yes,no
RPE_RS00865,,,0,,,,,,no,no,no
RPE_RS00870,,,0,ACXYSJ_01320,52.15,107.73,7.56e-62,188.0,no,no,no
RPE_RS00875,ACXYSJ_01315,ACXYSJ_01315,1,ACXYSJ_01315,90.00,98.36,3.52e-36,112.0,yes,yes,no
RPE_RS00880,ACXYSJ_01310,ACXYSJ_01310,1,ACXYSJ_01310,74.11,97.39,2.00e-123,347.0,yes,yes,no
RPE_RS00885,ACXYSJ_01305,ACXYSJ_01305,1,ACXYSJ_01305,84.09,99.68,0.00e+00,510.0,yes,yes,no
RPE_RS00890,ACXYSJ_01300,ACXYSJ_01300,1,ACXYSJ_01300,68.56,100.88,8.44e-105,299.0,yes,yes,no
RPE_RS00895,,,0,,,,,,no,no,no
RPE_RS00900,,,0,,,,,,no,no,no
RPE_RS00905,,,0,ACXYSJ_02080,44.23,84.57,1.00e-130,396.0,no,no,no
RPE_RS00910,ACXYSJ_01295,ACXYSJ_01295,1,ACXYSJ_01295,78.76,99.25,0.00e+00,791.0,yes,yes,no
RPE_RS00915,,,0,,,,,,no,no,no
RPE_RS00920,,,0,ACXYSJ_19725,29.79,101.08,3.15e-09,47.0,no,no,no
RPE_RS00925,ACXYSJ_01285,ACXYSJ_01285,1,ACXYSJ_01285,92.34,97.89,0.00e+00,806.0,yes,yes,no
RPE_RS00930,,,0,,,,,,no,no,no
RPE_RS00940,ACXYSJ_01280,ACXYSJ_01280,1,ACXYSJ_01280,83.22,90.97,4.60e-176,486.0,yes,yes,no
RPE_RS00945,ACXYSJ_01275,ACXYSJ_01275,1,ACXYSJ_01275,72.67,95.83,1.24e-88,253.0,yes,yes,no
RPE_RS00950,,,0,ACXYSJ_05640,32.04,63.98,1.95e-11,56.6,no,no,no
RPE_RS00955,,,0,ACXYSJ_07885,29.41,88.08,4.54e-36,133.0,no,no,no
RPE_RS00960,,,0,ACXYSJ_07890,30.02,89.04,7.96e-68,224.0,no,no,no
RPE_RS00965,,,0,ACXYSJ_06780,48.00,81.30,2.40e-57,178.0,no,no,no
RPE_RS00970,ACXYSJ_01740,ACXYSJ_01740,1,ACXYSJ_01740,91.93,99.58,0.00e+00,1340.0,yes,yes,no
RPE_RS00975,ACXYSJ_01735,ACXYSJ_01735,1,ACXYSJ_01735,91.01,98.89,1.45e-55,164.0,yes,yes,no
RPE_RS00980,ACXYSJ_01730,ACXYSJ_01730,1,ACXYSJ_01730,88.23,91.64,0.00e+00,610.0,yes,yes,no
RPE_RS00985,ACXYSJ_01725,ACXYSJ_01725,1,ACXYSJ_01725,77.27,94.96,2.29e-73,213.0,yes,yes,no
RPE_RS00990,ACXYSJ_01720,ACXYSJ_01720,1,ACXYSJ_01720,86.26,100.11,0.00e+00,1410.0,yes,yes,no
RPE_RS00995,,,0,ACXYSJ_01715,55.95,101.20,7.22e-88,258.0,no,no,no
RPE_RS01000,ACXYSJ_01710,ACXYSJ_01710,1,ACXYSJ_01710,90.09,99.26,0.00e+00,962.0,yes,yes,no
RPE_RS01005,ACXYSJ_01705,ACXYSJ_01705,1,ACXYSJ_01705,74.61,96.30,3.45e-135,379.0,yes,yes,no
RPE_RS01010,ACXYSJ_01695,ACXYSJ_01695,1,ACXYSJ_01695,72.89,89.64,1.35e-121,343.0,yes,yes,no
RPE_RS01015,ACXYSJ_01690,ACXYSJ_01690,1,ACXYSJ_01690,91.05,95.04,8.31e-85,241.0,yes,yes,no
RPE_RS01020,ACXYSJ_01685,ACXYSJ_01685,1,ACXYSJ_01685,76.68,99.63,0.00e+00,822.0,yes,yes,no
RPE_RS01025,ACXYSJ_01680,ACXYSJ_01680,1,ACXYSJ_01680,72.27,101.08,0.00e+00,519.0,yes,yes,no
RPE_RS01030,ACXYSJ_01675,ACXYSJ_01675,1,ACXYSJ_01675,75.61,94.80,7.54e-88,252.0,yes,yes,no
RPE_RS01035,ACXYSJ_01670,ACXYSJ_01670,1,ACXYSJ_01670,86.04,99.72,0.00e+00,602.0,yes,yes,no
RPE_RS01040,ACXYSJ_01665,ACXYSJ_01665,1,ACXYSJ_01665,79.23,100.21,0.00e+00,752.0,yes,yes,no
RPE_RS01045,ACXYSJ_01660,ACXYSJ_01660,1,ACXYSJ_01660,65.28,96.00,3.40e-94,272.0,yes,yes,no
RPE_RS01050,ACXYSJ_01655,ACXYSJ_01655,1,ACXYSJ_01655,92.96,97.26,9.21e-96,270.0,yes,yes,no
RPE_RS01055,ACXYSJ_01650,ACXYSJ_01650,1,ACXYSJ_01650,78.26,99.38,1.46e-90,258.0,yes,yes,no
RPE_RS01060,ACXYSJ_01645,ACXYSJ_01645,1,ACXYSJ_01645,71.86,99.57,5.33e-117,330.0,yes,yes,no
RPE_RS01065,ACXYSJ_01640,ACXYSJ_01640,1,ACXYSJ_01640,84.36,94.71,2.48e-110,310.0,yes,yes,no
RPE_RS01070,,,0,ACXYSJ_23775,53.42,96.69,1.56e-177,508.0,no,no,no
RPE_RS01075,ACXYSJ_01635,ACXYSJ_01635,1,ACXYSJ_01635,73.17,99.39,7.99e-87,249.0,yes,yes,no
RPE_RS01080,,,0,,,,,,no,no,no
RPE_RS01085,,,0,,,,,,no,no,no
RPE_RS01090,ACXYSJ_01630,ACXYSJ_01630,1,ACXYSJ_01630,90.81,99.43,0.00e+00,674.0,yes,yes,no
RPE_RS01095,,,0,ACXYSJ_01625,62.86,99.61,0.00e+00,536.0,no,no,no
RPE_RS01100,ACXYSJ_01620,ACXYSJ_01620,1,ACXYSJ_01620,84.38,99.70,0.00e+00,571.0,yes,yes,no
RPE_RS01110,ACXYSJ_01610,ACXYSJ_01610,1,ACXYSJ_01610,67.35,97.98,0.00e+00,564.0,yes,yes,no
RPE_RS01115,,,0,ACXYSJ_01605,57.80,98.20,9.72e-32,105.0,no,no,no
RPE_RS01120,ACXYSJ_01600,ACXYSJ_01600,1,ACXYSJ_01600,87.32,99.80,0.00e+00,863.0,yes,yes,no
RPE_RS01125,,,0,,,,,,no,no,no
RPE_RS01130,ACXYSJ_02255,ACXYSJ_02255,1,ACXYSJ_02255,73.65,100.68,0.00e+00,1069.0,yes,yes,no
RPE_RS01135,ACXYSJ_02250,ACXYSJ_02250,1,ACXYSJ_02250,84.53,99.64,5.65e-169,466.0,yes,yes,no
RPE_RS01140,ACXYSJ_02245,ACXYSJ_02245,1,ACXYSJ_02245,85.65,99.10,0.00e+00,796.0,yes,yes,no
RPE_RS01145,ACXYSJ_02235,ACXYSJ_02235,1,ACXYSJ_02235,83.53,99.61,1.55e-156,433.0,yes,yes,no
RPE_RS01150,ACXYSJ_02230,ACXYSJ_02230,1,ACXYSJ_02230,84.81,88.10,1.02e-149,416.0,yes,yes,no
RPE_RS01155,ACXYSJ_02225,ACXYSJ_02225,1,ACXYSJ_02225,77.83,97.30,0.00e+00,661.0,yes,yes,no
RPE_RS01160,ACXYSJ_02220,ACXYSJ_02220,1,ACXYSJ_02220,88.04,99.46,5.85e-120,334.0,yes,yes,no
RPE_RS01165,ACXYSJ_02215,ACXYSJ_02215,1,ACXYSJ_02215,84.61,96.89,5.87e-98,276.0,yes,yes,no
RPE_RS01170,ACXYSJ_02210,ACXYSJ_02210,1,ACXYSJ_02210,74.19,99.73,0.00e+00,550.0,yes,yes,no
RPE_RS01175,ACXYSJ_02205,ACXYSJ_02205,1,ACXYSJ_02205,72.52,99.55,1.04e-123,347.0,yes,yes,no
RPE_RS01180,ACXYSJ_02195,ACXYSJ_02195,1,ACXYSJ_02195,73.38,100.00,2.91e-55,167.0,yes,yes,no
RPE_RS01185,,,0,ACXYSJ_09815,40.19,103.96,9.79e-167,502.0,no,no,no
RPE_RS01190,,,0,ACXYSJ_02190,62.56,102.58,1.19e-172,484.0,no,no,no
