Ref_Gene,Candidate_Target_Gene,Candidate_Target_Symbol,Candidate_Target_Product,Identity(%),E_value,Coverage,BBH,BiGG_True_Rxns,BiGG_True_Rxns_Details,Reason,Action
RPE_RS03015,ACXYSJ_18190,,benzoate-CoA ligase family protein,92.543,0.0,0.9980916030534353,<=>,PERD,PERD [Erythronate 4-phosphate (4per) dehydrogenase] :: 4per_c_u (4-Phospho-D-erythronate) + nad_c_u (Nicotinamide adenine dinucleotide) --> h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) + ohpb_c_u (2-Oxo-3-hydroxy-4-phosphobutanoate),target_gene_has_no_reactions,
RPE_RS12680,ACXYSJ_11160,nuoF,NADH-quinone oxidoreductase subunit NuoF,92.534,0.0,1.0,<=>,H2ASE_syn,H2ASE_syn [Bidirectional [NiFe] Hydrogenase] :: h_c_u (H+) + nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) <=> h2_c_u (Hydrogen) + nadp_c_u (Nicotinamide adenine dinucleotide phosphate),target_gene_has_no_reactions,
RPE_RS00925,ACXYSJ_01285,ispG,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,92.344,0.0,0.9789227166276346,<=>,MECDPDH5,"MECDPDH5 [2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase] :: 2mecdp_c_u (2-C-methyl-D-erythritol 2,4-cyclodiphosphate) + 2 flxr_c_u (Flavodoxin reduced) + h_c_u (H+) --> 2 flxso_c_u (Flavodoxin semi oxidized) + h2mb4p_c_u (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate) + h2o_c_u (H2O H2O)",target_gene_has_no_reactions,
RPE_RS15590,ACXYSJ_05915,phnK,phosphonate C-P lyase system protein PhnK,92.135,4.97e-180,1.0,<=>,CTBTabcpp,CTBTabcpp [Crotonobetaine transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + ctbt_p_u (Crotonobetaine) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + ctbt_c_u (Crotonobetaine) + h_c_u (H+) + pi_c_u (Phosphate),target_gene_has_no_reactions,
RPE_RS15340,ACXYSJ_14355,,ABC transporter ATP-binding protein,91.667,3.14e-174,1.0,<=>,ECA4COLIPAabctex,ECA4COLIPAabctex [Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)] :: atp_c_u (ATP C10H12N5O13P3) + eca4colipa_p_u ((enterobacterial common antigen)x4 core oligosaccharide lipid A) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + eca4colipa_e_u ((enterobacterial common antigen)x4 core oligosaccharide lipid A) + h_c_u (H+) + pi_c_u (Phosphate),target_gene_has_no_reactions,
RPE_RS16845,ACXYSJ_10195,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,91.667,4.46e-60,1.0,<=>,GLNTRAT,GLNTRAT [Glutamyl-tRNA(Gln) amidotransferase] :: atp_c_u (ATP C10H12N5O13P3) + gln__L_c_u (L-Glutamine) + glutrna_gln_c_u (L-Glutamyl-tRNA(Gln)) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + glntrna_c_u (L-Glutaminyl-tRNA(Gln)) + glu__L_c_u (L-Glutamate) + h_c_u (H+) + pi_c_u (Phosphate),target_gene_has_no_reactions,
RPE_RS12700,ACXYSJ_11175,nuoI,NADH-quinone oxidoreductase subunit NuoI,91.411,2.69e-112,1.0,<=>,NDH_1_4_um_copy1,"NDH_1_4_um_copy1 [NAD(P)H dehydrogenase, carbon dioxide coupled (plastoquinone-8 & 4 protons)( Thylakoid)] :: co2_c_u (CO2 CO2) + 2 fdxrd_c_u (Reduced ferredoxin) + h2o_c_u (H2O H2O) + 4 h_c_u (H+) + pq_um_p_u (Plastoquinone) --> 2 fdxox_c_u (Oxidized ferredoxin) + 3 h_u_u (H+) + hco3_c_u (Bicarbonate) + pqh2_um_p_u (Plastoquinol)",target_gene_has_no_reactions,
RPE_RS09030,ACXYSJ_16420,,SDR family NAD(P)-dependent oxidoreductase,91.118,0.0,0.9934640522875816,<=>,CHOLID,"CHOLID [7-?-hydroxysteroid dehydrogenase] :: cholate_c_u (Cholate c) + nad_c_u (Nicotinamide adenine dinucleotide) --> dhcholn_c_u (3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate) + h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced)",target_gene_has_no_reactions,
RPE_RS08850,ACXYSJ_19780,cysP,thiosulfate ABC transporter substrate-binding protein CysP,90.774,0.0,1.0,<=>,SELabcpp | SLNTabcpp | SULabc | TSULabc | TSULabcpp,SELabcpp [Selenatenate transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + sel_p_u (Selenate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + sel_c_u (Selenate) || SLNTabcpp [Selenite ABC transporter (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + slnt_p_u (Selenite) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + slnt_c_u (Selenite) || SULabc [Sulfate transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + so4_e_u (Sulfate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + so4_c_u (Sulfate) || TSULabc [TSULabc] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + tsul_e_u (Thiosulfate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + tsul_c_u (Thiosulfate) || TSULabcpp [Thiosulfate transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + tsul_p_u (Thiosulfate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + tsul_c_u (Thiosulfate),target_gene_has_no_reactions,
RPE_RS08845,ACXYSJ_19785,cysT,sulfate ABC transporter permease subunit CysT,90.074,1.64e-174,0.9855072463768116,<=>,SELabcpp | SLNTabcpp | SO4tex | SULabc | TSULabc | TSULabcpp,SELabcpp [Selenatenate transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + sel_p_u (Selenate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + sel_c_u (Selenate) || SLNTabcpp [Selenite ABC transporter (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + slnt_p_u (Selenite) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + slnt_c_u (Selenite) || SO4tex [Sulfate transport via diffusion (extracellular to periplasm)] :: so4_e_u (Sulfate) <=> so4_p_u (Sulfate) || SULabc [Sulfate transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + so4_e_u (Sulfate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + so4_c_u (Sulfate) || TSULabc [TSULabc] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + tsul_e_u (Thiosulfate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + tsul_c_u (Thiosulfate) || TSULabcpp [Thiosulfate transport via ABC system (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + tsul_p_u (Thiosulfate) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + tsul_c_u (Thiosulfate),target_gene_has_no_reactions,
RPE_RS17785,ACXYSJ_09160,,nitroreductase,89.686,6.57e-144,0.986725663716814,<=>,NDH1_1u | NDH1_2u | NDH1_3u | NDH2_syn | NDH_1_1_um_copy1 | NDH_1_1_um_copy2 | NDH_1_4_um_copy2,"NDH1_1u [NAD(P)H dehydrogenase (plastoquinone-8 & 3 protons) (tilacoide)] :: 4 h_c_u (H+) + nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) + pq_u_u (Plastoquinone) --> 3 h_u_u (H+) + nadp_c_u (Nicotinamide adenine dinucleotide phosphate) + pqh2_u_u (Plastoquinol) || NDH1_2u [NAD(P)H dehydrogenase (plastoquinone-8 & 3 protons) (tilacoide)] :: 4 h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) + pq_u_u (Plastoquinone) --> 3 h_u_u (H+) + nad_c_u (Nicotinamide adenine dinucleotide) + pqh2_u_u (Plastoquinol) || NDH1_3u [Active co2 transporter facilitator (tilacoide)] :: co2_p_u (CO2 CO2) + h2o_c_u (H2O H2O) + 3 h_c_u (H+) + nadph_c_u (Nicotinamide adenine dinucleotide phosphate - reduced) + pq_u_u (Plastoquinone) --> 3 h_u_u (H+) + hco3_c_u (Bicarbonate) + nadp_c_u (Nicotinamide adenine dinucleotide phosphate) + pqh2_u_u (Plastoquinol) || NDH2_syn [NADH dehydrogenase 2 (plastoquinone-8) (tilacoide)] :: h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced) + pq_u_u (Plastoquinone) --> nad_c_u (Nicotinamide adenine dinucleotide) + pqh2_u_u (Plastoquinol) || NDH_1_1_um_copy1 [NAD(P)H dehydrogenase (plastoquinone-8 & 4 protons)( Thylakoid)] :: 2 fdxrd_c_u (Reduced ferredoxin) + 5 h_c_u (H+) + pq_um_p_u (Plastoquinone) --> 2 fdxox_c_u (Oxidized ferredoxin) + 3 h_u_u (H+) + pqh2_um_p_u (Plastoquinol) || NDH_1_1_um_copy2 [NAD(P)H dehydrogenase (plastoquinone-8 & 4 protons)( Thylakoid)] :: 2 fdxrd_c_u (Reduced ferredoxin) + 5 h_c_u (H+) + pq_um_p_u (Plastoquinone) --> 2 fdxox_c_u (Oxidized ferredoxin) + 3 h_u_u (H+) + pqh2_um_p_u (Plastoquinol) || NDH_1_4_um_copy2 [NAD(P)H dehydrogenase, carbon dioxide coupled (plastoquinone-8 & 4 protons)( Thylakoid)] :: co2_c_u (CO2 CO2) + 2 fdxrd_c_u (Reduced ferredoxin) + h2o_c_u (H2O H2O) + 4 h_c_u (H+) + pq_um_p_u (Plastoquinone) --> 2 fdxox_c_u (Oxidized ferredoxin) + 3 h_u_u (H+) + hco3_c_u (Bicarbonate) + pqh2_um_p_u (Plastoquinol)",target_gene_has_no_reactions,
RPE_RS15335,ACXYSJ_14350,,ABC transporter ATP-binding protein,89.583,1.28e-161,0.96,<=>,AI2abcpp | ARBabcpp | ECA4COLIPAabctex,"AI2abcpp [Autoinducer-2 ABC transporter] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + mththf_p_u ((2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + mththf_c_u ((2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran) + pi_c_u (Phosphate) || ARBabcpp [L-arabinose transport via ABC system (periplasm)] :: arab__L_p_u (L-Arabinose) + atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + arab__L_c_u (L-Arabinose) + h_c_u (H+) + pi_c_u (Phosphate) || ECA4COLIPAabctex [Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)] :: atp_c_u (ATP C10H12N5O13P3) + eca4colipa_p_u ((enterobacterial common antigen)x4 core oligosaccharide lipid A) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + eca4colipa_e_u ((enterobacterial common antigen)x4 core oligosaccharide lipid A) + h_c_u (H+) + pi_c_u (Phosphate)",target_gene_has_no_reactions,
RPE_RS22955,ACXYSJ_20140,,SDR family NAD(P)-dependent oxidoreductase,89.575,1.63e-171,1.0,<=>,CHOLID,"CHOLID [7-?-hydroxysteroid dehydrogenase] :: cholate_c_u (Cholate c) + nad_c_u (Nicotinamide adenine dinucleotide) --> dhcholn_c_u (3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate) + h_c_u (H+) + nadh_c_u (Nicotinamide adenine dinucleotide - reduced)",target_gene_has_no_reactions,
RPE_RS03855,ACXYSJ_17065,,TrpB-like pyridoxal phosphate-dependent enzyme,89.231,0.0,1.0,<=>,TRPS2,TRPS2 [Tryptophan synthase (indole)] :: indole_c_u (Indole) + ser__L_c_u (L-Serine) --> h2o_c_u (H2O H2O) + trp__L_c_u (L-Tryptophan),target_gene_has_no_reactions,
RPE_RS06715,ACXYSJ_06315,pufL,photosynthetic reaction center subunit L,89.209,0.0,1.0,<=>,PSICSum | PSIICSum | PSIIum | PSIum,"PSICSum [Photosystem I charge separation] :: chla_qy1_exc_c_u (Photosystem I excited chlorophyll A, Qy band (long wavelength)) + p700_um_p_u (PSI reaction center P700) --> cholphya_c_u (Chlorophyll a) + p700_exc_um_p_u (PSI reaction center P700, excited) || PSIICSum [Photosystem II charge separation] :: chla_qy2_exc_c_u (Photosystem II excited chlorophyll A, Qy band (long wavelength)) + p680_um_p_u (PSII reaction center P680) --> cholphya_c_u (Chlorophyll a) + p680_exc_um_p_u (PSII reaction center P680, excited) || PSIIum [Photosystem II] :: 2 h2o_u_u (H2O H2O) + 3.9996 h_c_u (H+) + 4 p680_exc_um_p_u (PSII reaction center P680, excited) + 1.9998 pq_um_p_u (Plastoquinone) + 0.0004 ps2d1_um_p_u (PSII D1 protein) --> 4 h_u_u (H+) + o2_u_u (O2 O2) + 4 p680_um_p_u (PSII reaction center P680) + 1.9998 pqh2_um_p_u (Plastoquinol) + 0.0004 ps2d1_exc_um_p_u (Damaged PSII D1 protein) || PSIum [Photosystem I] :: 0.99 fdxox_c_u (Oxidized ferredoxin) + 0.01 o2_c_u (O2 O2) + p700_exc_um_p_u (PSI reaction center P700, excited) + pcrd_u_u (Plastocyanin(Cu+)) --> 0.99 fdxrd_c_u (Reduced ferredoxin) + 0.01 o2s_c_u (Superoxide anion) + p700_um_p_u (PSI reaction center P700) + pcox_u_u (Plastocyanin(Cu2+))",target_gene_has_no_reactions,
RPE_RS13180,ACXYSJ_11580,erpA,iron-sulfur cluster insertion protein ErpA,89.189,3.46e-68,1.009090909090909,<=>,I2FE2ST | I4FE4ST,I2FE2ST [ISC [2Fe-2S] Transfer] :: 4 h_c_u (H+) + iscu_2fe2s_c_u (IscU with bound [2Fe-2S] cluster) --> 2fe2s_c_u ([2Fe-2S] iron-sulfur cluster) + iscu_c_u (IscU scaffold protein) || I4FE4ST [ISC [4Fe-4S] Transfer] :: 4 h_c_u (H+) + iscu_4fe4s_c_u (IscU with bound [4Fe-4S] cluster) --> 4fe4s_c_u ([4Fe-4S] iron-sulfur cluster) + iscu_c_u (IscU scaffold protein),target_gene_has_no_reactions,
RPE_RS04805,ACXYSJ_05795,,hydrogenase-4 component E,89.14,1.2e-137,1.0,<=>,FHL,FHL [Formate-hydrogen lyase] :: for_c_u (Formate) + h_c_u (H+) --> co2_c_u (CO2 CO2) + h2_c_u (Hydrogen),target_gene_has_no_reactions,
RPE_RS08535,ACXYSJ_16560,,ABC transporter ATP-binding protein,88.889,1.3e-156,0.9959016393442623,<=>,CLIPAabctex | COLIPAPabctex | COLIPAabctex | ECA4COLIPAabctex,CLIPAabctex [Cold lipid A transport via ABC system (periplasm to extracellular)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + lipa_cold_p_u (Cold adapted KDO(2)-lipid (A)) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + lipa_cold_e_u (Cold adapted KDO(2)-lipid (A)) + pi_c_u (Phosphate) || COLIPAPabctex [Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)] :: atp_c_u (ATP C10H12N5O13P3) + colipap_p_u (Core oligosaccharide lipid A diphosphate) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + colipap_e_u (Core oligosaccharide lipid A diphosphate) + h_c_u (H+) + pi_c_u (Phosphate) || COLIPAabctex [Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)] :: atp_c_u (ATP C10H12N5O13P3) + colipa_p_u (Core oligosaccharide lipid A) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + colipa_e_u (Core oligosaccharide lipid A) + h_c_u (H+) + pi_c_u (Phosphate) || ECA4COLIPAabctex [Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)] :: atp_c_u (ATP C10H12N5O13P3) + eca4colipa_p_u ((enterobacterial common antigen)x4 core oligosaccharide lipid A) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + eca4colipa_e_u ((enterobacterial common antigen)x4 core oligosaccharide lipid A) + h_c_u (H+) + pi_c_u (Phosphate),target_gene_has_no_reactions,
