query_locus_tag,query_gene,query_product,subject_locus_tag,subject_gene,subject_product,pident,qcov,scov,evalue,bitscore,reciprocal_best_hit,pass_threshold,used_for_conversion
PGIDNB_00710,hisF,Imidazole glycerol phosphate synthase subunit HisF,ACXYSJ_00710,hisF,imidazole glycerol phosphate synthase subunit HisF,100,100,100,0.00E+00,507,yes,yes,yes
PGIDNB_00715,hisE1,phosphoribosyl-ATP diphosphatase,ACXYSJ_00715,,phosphoribosyl-ATP diphosphatase,100,100,100,1.44E-73,211,yes,yes,yes
PGIDNB_00720,coaA,type I pantothenate kinase,ACXYSJ_00720,coaA,type I pantothenate kinase,100,100,100,0.00E+00,644,yes,yes,yes
PGIDNB_00725,,Ornithine-acyl[acyl carrier protein] N-acyltransferase,ACXYSJ_00725,olsB,l-ornithine N(alpha)-acyltransferase,100,100,100,0.00E+00,656,yes,yes,yes
PGIDNB_00730,,Histidine kinase,ACXYSJ_00730,,ATP-binding protein,100,100,96.46,0.00E+00,1233,yes,yes,yes
PGIDNB_00735,,hypothetical protein,ACXYSJ_00735,,hypothetical protein,100,100,90.68,2.66E-104,292,yes,yes,yes
PGIDNB_00740,yifB,"putative Mg-chelatase, contains ChlI-like and ATPase domains, YifB family",ACXYSJ_00740,,YifB family Mg chelatase-like AAA ATPase,100,100,100,0.00E+00,1003,yes,yes,yes
PGIDNB_00745,,hypothetical protein,ACXYSJ_00745,,hypothetical protein,100,100,100,2.77E-48,144,yes,yes,yes
PGIDNB_00750,,Autoinducer (Acylhomoserine lactone) synthase,ACXYSJ_00750,,acyl-homoserine-lactone synthase,100,100,100,1.39E-161,442,yes,yes,yes
PGIDNB_00755,,"Transcriptional regulator, LuxR family",ACXYSJ_00755,,helix-turn-helix transcriptional regulator,100,100,100,0.00E+00,499,yes,yes,yes
PGIDNB_00760,gshB,glutathione synthase,ACXYSJ_00760,gshB,glutathione synthase,100,100,100,0.00E+00,636,yes,yes,yes
PGIDNB_00765,,YraN family protein,ACXYSJ_00765,,YraN family protein,100,100,100,1.98E-92,260,yes,yes,yes
PGIDNB_00770,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,ACXYSJ_00770,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,100,100,100,0.00E+00,628,yes,yes,yes
PGIDNB_00775,,ethanolamine utilization protein EutM,ACXYSJ_00775,,penicillin-binding protein activator,100,100,100,0.00E+00,780,yes,yes,yes
PGIDNB_00780,hemW,radical SAM family heme chaperone HemW,ACXYSJ_00780,hemW,radical SAM family heme chaperone HemW,100,100,100,0.00E+00,783,yes,yes,yes
PGIDNB_00785,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,ACXYSJ_00785,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,100,100,100,1.14E-153,421,yes,yes,yes
PGIDNB_00790,rph,ribonuclease PH,ACXYSJ_00790,rph,ribonuclease PH,100,100,100,4.27E-176,480,yes,yes,yes
PGIDNB_00795,hrcA,heat-inducible transcriptional repressor HrcA,ACXYSJ_00795,hrcA,heat-inducible transcriptional repressor HrcA,100,100,100,0.00E+00,717,yes,yes,yes
PGIDNB_00800,grpE,nucleotide exchange factor GrpE,ACXYSJ_00800,grpE,nucleotide exchange factor GrpE,100,100,100,4.28E-149,409,yes,yes,yes
PGIDNB_00805,,hypothetical protein,ACXYSJ_00805,,hypothetical protein,100,100,100,0.00E+00,630,yes,yes,yes
PGIDNB_00810,dnaK,molecular chaperone DnaK,ACXYSJ_00810,dnaK,molecular chaperone DnaK,100,100,100,0.00E+00,1283,yes,yes,yes
PGIDNB_00815,dnaJ,molecular chaperone DnaJ,ACXYSJ_00815,dnaJ,molecular chaperone DnaJ,100,100,100,0.00E+00,774,yes,yes,yes
PGIDNB_00820,,methyltransferase,ACXYSJ_00820,,class I SAM-dependent methyltransferase,100,100,100,6.58E-148,406,yes,yes,yes
PGIDNB_00825,,NADPH-dependent FMN reductase,ACXYSJ_00825,,NADPH-dependent FMN reductase,100,100,100,1.58E-142,392,yes,yes,yes
PGIDNB_00830,pyrF,orotidine-5'-phosphate decarboxylase,ACXYSJ_00830,pyrF,orotidine-5'-phosphate decarboxylase,100,100,100,4.91E-169,462,yes,yes,yes
PGIDNB_00835,,DUF1330 domain-containing protein,ACXYSJ_00835,,DUF1330 domain-containing protein,100,100,100,1.19E-75,215,yes,yes,yes
PGIDNB_00840,dapB,4-hydroxy-tetrahydrodipicolinate reductase,ACXYSJ_00840,dapB,4-hydroxy-tetrahydrodipicolinate reductase,100,100,100,0.00E+00,532,yes,yes,yes
PGIDNB_00845,gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",ACXYSJ_00845,gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",100,100,100,0.00E+00,1025,yes,yes,yes
PGIDNB_00850,araC,6-O-methylguanine DNA methyltransferase,ACXYSJ_00850,,methylated-DNA--[protein]-cysteine S-methyltransferase,100,100,99.66,0.00E+00,601,yes,yes,yes
PGIDNB_00855,,Uncharacterized membrane protein,ACXYSJ_00855,,DUF2244 domain-containing protein,100,100,100,4.08E-122,338,yes,yes,yes
PGIDNB_00860,nth,endonuclease III,ACXYSJ_00860,nth,endonuclease III,100,100,100,0.00E+00,529,yes,yes,yes
PGIDNB_00865,,Carboxypeptidase C (Cathepsin A),ACXYSJ_00865,,S10 family peptidase,100,100,100,0.00E+00,1043,yes,yes,yes
PGIDNB_00870,,Alpha/beta hydrolase fold,ACXYSJ_00870,bchO,alpha/beta fold hydrolase BchO,100,99.69,100,0.00E+00,629,yes,yes,yes
PGIDNB_00875,,hypothetical protein,,,,,,,,,no,no,no
PGIDNB_00880,,Uncharacterized protein involved in cysteine biosynthesis,ACXYSJ_00875,,sulfate transporter family protein,100,100,100,5.20E-179,489,yes,yes,yes
PGIDNB_00885,aceK,bifunctional isocitrate dehydrogenase kinase/phosphatase,ACXYSJ_00880,aceK,bifunctional isocitrate dehydrogenase kinase/phosphatase,100,97.43,100,0.00E+00,1228,yes,yes,yes
PGIDNB_00890,,YD repeat-containing protein,ACXYSJ_00885,,DUF2283 domain-containing protein,100,100,100,8.22E-41,124,yes,yes,yes
PGIDNB_00895,,hypothetical protein,ACXYSJ_00890,,DUF4258 domain-containing protein,100,100,100,6.77E-61,177,yes,yes,yes
