reaction_id,reaction_name,pathway,ec_number,enzyme_name,dsm_locus_tags,dsm_products,dsm_protein_ids,dsm_aa_lengths,rpal_homolog_locus_tags,uniprot_accession_or_query,kinetic_source,kinetic_reference_accession,kinetic_reference_organism_strain,kinetic_reference_note,kinetic_record_status,use_mm_constraint,kcat_s_inv,kcat_forward_s_inv,kcat_reverse_s_inv,directional_kcat_by_substrate,parameter_input_file,source_csv_reaction_id,ignored_nonreaction_km_entries,pgidnb_locus_tags,rnaseq_6h_median_expression,rnaseq_total_expression_for_constrained_reactions,rnaseq_allocation_fraction,model_biomass_protein_fraction_g_per_gdw,enzyme_pool_fraction_of_biomass_protein,estimated_enzyme_mw_kda,allocated_enzyme_mass_g_per_gdw,enzyme_umol_per_gdw,vmax_mmol_gdw_h,vmax_forward_mmol_gdw_h,vmax_reverse_mmol_gdw_h,mm_formula,substrates,gene_reaction_rule
SBP,Sedoheptulose-bisphosphatase,CBB,3.1.3.37,Sedoheptulose-bisphosphatase,ACXYSJ_13375,ACXYSJ_13375:class II fructose-bisphosphatase,PRJNA1391668:ACXYSJ_13375,334,RPE_RS14755,,https://www.brenda-enzymes.org/literature.php?e=3.1.3.37&r=729720,https://www.brenda-enzymes.org/literature.php?e=3.1.3.37&r=729720,Synechocystis sp.,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,4.2,4.2,4.2,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,SBP,,PGIDNB_13255,695.8648361333334,234927.69244506504,0.002962038356955525,0.5112,1.0,36.74,0.0015141940080756644,0.04121377267489561,0.6231522428444217,0.6231522428444217,0.6231522428444217,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),s17bp_c,ACXYSJ_13375
FBP,Fructose-bisphosphatase,CBB,3.1.3.11,Fructose-bisphosphatase,ACXYSJ_13375,ACXYSJ_13375:class II fructose-bisphosphatase,PRJNA1391668:ACXYSJ_13375,334,RPE_RS14755,,https://www.brenda-enzymes.org/literature.php?e=3.1.3.11&r=729720,https://www.brenda-enzymes.org/literature.php?e=3.1.3.11&r=729720,Synechocystis sp.,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,10.5,10.5,10.5,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,FBP,,PGIDNB_13255,695.8648361333334,234927.69244506504,0.002962038356955525,0.5112,1.0,36.74,0.0015141940080756644,0.04121377267489561,1.557880607111054,1.557880607111054,1.557880607111054,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),fdp_c,ACXYSJ_13375
TPI,Triose-phosphate isomerase,CBB,5.3.1.1,Triose-phosphate isomerase,ACXYSJ_11435,ACXYSJ_11435:triose-phosphate isomerase,PRJNA1391668:ACXYSJ_11435,258,RPE_RS13005,,https://www.brenda-enzymes.org/literature.php?e=5.3.1.1&r=682773,https://www.brenda-enzymes.org/literature.php?e=5.3.1.1&r=682773,Helicobacter pylori,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,1470.0,1470.0,1470.0,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,TPI,,PGIDNB_11355,525.3306872666667,234927.69244506504,0.0022361377741345195,0.5112,1.0,28.38,0.0011431136301375663,0.04027884531844843,213.1556494252291,213.1556494252291,213.1556494252291,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),g3p_c,ACXYSJ_11435
PRUK,Phosphoribulokinase,CBB,2.7.1.19,Phosphoribulokinase,ACXYSJ_21480,ACXYSJ_21480:phosphoribulokinase,PRJNA1391668:ACXYSJ_21480,291,RPE_RS13455,,normalized kinetic parameter CSV,normalized kinetic parameter CSV,see normalized kinetic parameter CSV,kcat and Km are loaded from the normalized kinetic parameter CSV.,not applied: kcat missing in normalized CSV,False,,,,,,PRUK,,PGIDNB_21320,4248.977882333334,234927.69244506504,0.018086321957667486,0.5112,1.0,32.01,0.009245727784759619,0.28883873117024744,,,,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),ru5p__D_c;atp_c,ACXYSJ_21480
PGM,Phosphoglycerate mutase,CBB,5.4.2.12,Phosphoglycerate mutase,ACXYSJ_20105,ACXYSJ_20105:histidine phosphatase family protein,PRJNA1391668:ACXYSJ_20105,197,RPE_RS22930,,https://www.brenda-enzymes.org/literature.php?e=5.4.2.12&r=734842,https://www.brenda-enzymes.org/literature.php?e=5.4.2.12&r=734842,Saccharolobus solfataricus DSM 1617,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,1.51,2.04,1.51,3pg_c:1.51;2pg_c:2.04,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,PGM,,PGIDNB_19955,35.93429608333333,234927.69244506504,0.00015295896243366935,0.5112,1.0,21.67,7.819262159609176e-05,0.003608335099035153,0.026499612967314165,0.026499612967314165,0.019614909598355094,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),2pg_c;3pg_c,ACXYSJ_20105
ENO,Enolase,CBB,4.2.1.11,Enolase,ACXYSJ_11485,ACXYSJ_11485:phosphopyruvate hydratase,PRJNA1391668:ACXYSJ_11485,427,RPE_RS13075,,https://www.brenda-enzymes.org/literature.php?e=4.2.1.11&r=734842,https://www.brenda-enzymes.org/literature.php?e=4.2.1.11&r=734842,Saccharolobus solfataricus DSM 1617,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,31.4,50.0,31.4,pep_c:31.4;2pg_c:50,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,ENO,,PGIDNB_11405,2549.4641723333334,234927.69244506504,0.010852122820426946,0.5112,1.0,46.97,0.005547605185802254,0.11810954195874503,21.259717552574106,21.259717552574106,13.351102623016537,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),2pg_c;pep_c,ACXYSJ_11485
PYK,Pyruvate kinase,CBB,2.7.1.40,Pyruvate kinase,ACXYSJ_14365;ACXYSJ_19660,ACXYSJ_14365:pyruvate kinase;ACXYSJ_19660:pyruvate kinase,PRJNA1391668:ACXYSJ_14365;PRJNA1391668:ACXYSJ_19660,492;477,RPE_RS15350;RPE_RS20540,,https://www.brenda-enzymes.org/literature.php?e=2.7.1.40&r=760784,https://www.brenda-enzymes.org/literature.php?e=2.7.1.40&r=760784,Corynebacterium glutamicum (including ATCC 13032),Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,5.58,5.58,5.58,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,PYK,,PGIDNB_14225;PGIDNB_19530,834.752199165,234927.69244506504,0.0035532303172823975,0.5112,1.0,106.59,0.0018164113381947615,0.01704110458949959,0.3423217089938677,0.3423217089938677,0.3423217089938677,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),pep_c;adp_c,ACXYSJ_19660 or ACXYSJ_14365
CS,Citrate synthase,TCA,2.3.3.1,Citrate synthase,ACXYSJ_11345,ACXYSJ_11345:citrate synthase,PRJNA1391668:ACXYSJ_11345,434,RPE_RS12875,,https://www.brenda-enzymes.org/literature.php?e=2.3.3.1&r=778981,https://www.brenda-enzymes.org/literature.php?e=2.3.3.1&r=778981,Cyanidioschyzon merolae NIES-3377,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,123.4,123.4,123.4,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,CS,,PGIDNB_11270,23740.21043333333,234927.69244506504,0.10105326531006849,0.5112,1.0,47.74,0.051658429226507006,1.0820785342795771,480.70256806835937,480.70256806835937,480.70256806835937,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),accoa_c;oaa_c,ACXYSJ_11345
ACONT,Aconitate hydratase,TCA,4.2.1.3,Aconitate hydratase,ACXYSJ_24245;ACXYSJ_24275,ACXYSJ_24245:3-isopropylmalate dehydratase large subunit;ACXYSJ_24275:3-isopropylmalate dehydratase small subunit,PRJNA1391668:ACXYSJ_24245;PRJNA1391668:ACXYSJ_24275,470;201,RPE_RS01665;RPE_RS01700,,https://www.brenda-enzymes.org/literature.php?e=4.2.1.3&r=775849,https://www.brenda-enzymes.org/literature.php?e=4.2.1.3&r=775849,Cyanidioschyzon merolae NIES-3377,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,7.28,7.28,7.28,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,ACONT,,PGIDNB_24115;PGIDNB_24145,2275.1580708333336,234927.69244506504,0.00968450354725785,0.5112,1.0,73.81,0.004950718213358213,0.06707381402734336,1.757870518028615,1.757870518028615,1.757870518028615,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),cit_c;icit_c,ACXYSJ_24245 and ACXYSJ_24275
ICDHyr,Isocitrate dehydrogenase (NADP),TCA,1.1.1.42,Isocitrate dehydrogenase (NADP),ACXYSJ_24345,ACXYSJ_24345:fasciclin domain-containing protein,PRJNA1391668:ACXYSJ_24345,194,RPE_RS02385,,https://www.brenda-enzymes.org/literature.php?e=1.1.1.42&r=761403,https://www.brenda-enzymes.org/literature.php?e=1.1.1.42&r=761403,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,51.8,51.8,51.8,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,ICDHyr,,PGIDNB_24220,6914.776643,234927.69244506504,0.029433637946352093,0.5112,1.0,21.34,0.01504647571817519,0.7050832107860914,131.48391714739031,131.48391714739031,131.48391714739031,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),icit_c;nadp_c,ACXYSJ_24345
AKGDH,2-Oxogluterate dehydrogenase,TCA,1.2.4.2,2-oxoglutarate dehydrogenase complex,ACXYSJ_11530;ACXYSJ_24015;ACXYSJ_24040,ACXYSJ_11530:dihydrolipoyl dehydrogenase;ACXYSJ_24015:dihydrolipoyl dehydrogenase;ACXYSJ_24040:2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,PRJNA1391668:ACXYSJ_11530;PRJNA1391668:ACXYSJ_24015;PRJNA1391668:ACXYSJ_24040,473;467;433,RPE_RS01455;RPE_RS01485;RPE_RS13130,,https://www.brenda-enzymes.org/literature.php?e=1.2.4.2&r=762591,https://www.brenda-enzymes.org/literature.php?e=1.2.4.2&r=762591,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,0.152,0.152,0.152,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,AKGDH,,PGIDNB_11455;PGIDNB_23875;PGIDNB_23900,3110.3148566666664,234927.69244506504,0.013239456039836494,0.5112,1.0,151.03,0.006768009927564415,0.04481235468161568,0.024521320481780098,0.024521320481780098,0.024521320481780098,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),akg_c,ACXYSJ_24040 and ACXYSJ_11530 and ACXYSJ_24015
SUCOAS,Succinyl-CoA synthetase (ADP-forming),TCA,6.2.1.5,Succinate-CoA ligase,ACXYSJ_24075;ACXYSJ_24090,ACXYSJ_24075:succinate--CoA ligase subunit alpha;ACXYSJ_24090:ADP-forming succinate--CoA ligase subunit beta,PRJNA1391668:ACXYSJ_24075;PRJNA1391668:ACXYSJ_24090,294;399,RPE_RS01495;RPE_RS01500,,https://www.brenda-enzymes.org/literature.php?e=6.2.1.5&r=726747,https://www.brenda-enzymes.org/literature.php?e=6.2.1.5&r=726747,Advenella mimigardefordensis DPN7; Alcanivorax borkumensis SK2; Escherichia coli K-12,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,14.3,14.3,14.3,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,SUCOAS,,PGIDNB_23935;PGIDNB_23950,2987.767265,234927.69244506504,0.012717816422168505,0.5112,1.0,76.23,0.00650134775501254,0.08528594719942988,4.39052056182665,4.39052056182665,4.39052056182665,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),succ_c;atp_c;coa_c,ACXYSJ_24075 and ACXYSJ_24090
SUCDi,Succinate dehydrogenase (irreversible),TCA,1.3.5.1,Succinate dehydrogenase,ACXYSJ_12470;ACXYSJ_24370;ACXYSJ_24375;ACXYSJ_24385,"ACXYSJ_12470:FAD assembly factor SdhE;ACXYSJ_24370:succinate dehydrogenase, cytochrome b556 subunit;ACXYSJ_24375:succinate dehydrogenase, hydrophobic membrane anchor protein;ACXYSJ_24385:succinate dehydrogenase iron-sulfur subunit",PRJNA1391668:ACXYSJ_12470;PRJNA1391668:ACXYSJ_24370;PRJNA1391668:ACXYSJ_24375;PRJNA1391668:ACXYSJ_24385,96;129;140;260,RPE_RS02565;RPE_RS02570;RPE_RS02580;RPE_RS14010,,https://www.brenda-enzymes.org/literature.php?e=1.3.5.1&r=674532,https://www.brenda-enzymes.org/literature.php?e=1.3.5.1&r=674532,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,30.0,30.0,250.0,succ_c:30;fum_c:250,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,SUCDi,,PGIDNB_12385;PGIDNB_24245;PGIDNB_24250;PGIDNB_24260,983.79652345,234927.69244506504,0.004187656692197106,0.5112,1.0,68.75,0.0021407301010511605,0.031137892378925967,28.024103141033372,3.3628923769240044,28.024103141033372,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),succ_c;fum_c,ACXYSJ_24375 and ACXYSJ_24370 and ACXYSJ_12470 and ACXYSJ_24385
FUM,Fumarase,TCA,4.2.1.2,Fumarase,ACXYSJ_17280,ACXYSJ_17280:fumarate hydratase,PRJNA1391668:ACXYSJ_17280,551,RPE_RS07895,,https://www.brenda-enzymes.org/literature.php?e=4.2.1.2&r=749072,https://www.brenda-enzymes.org/literature.php?e=4.2.1.2&r=749072,Escherichia coli (including K-12 and O157:H7 strains),Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,52.0,52.0,52.0,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,FUM,,PGIDNB_17160,2320.387197666667,234927.69244506504,0.009877027154681906,0.5112,1.0,60.61,0.005049136281473391,0.0833053337976141,15.594758486913358,15.594758486913358,15.594758486913358,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),fum_c;mal__L_c,ACXYSJ_17280
